231;19930610;02;03;09;14;31
230;19930607;03;15;27;31;35
229;19930603;02;03;10;21;24
245;19930729;15;18;23;29;30
244;19930726;05;12;21;25;29
243;19930722;01;09;16;27;31
242;19930719;06;23;30;33;34
241;19930715;04;16;20;25;32
240;19930712;08;12;28;29;31
239;19930708;04;08;09;13;23
238;19930705;03;05;06;13;33
237;19930701;06;13;19;26;31
254;19930830;03;05;11;12;22
253;19930826;17;18;23;24;26
252;19930823;11;19;28;31;35
251;19930819;05;06;09;16;34
250;19930816;06;10;19;20;21
249;19930812;12;18;23;24;33
248;19930809;05;14;17;18;28
247;19930805;08;14;20;25;28
246;19930802;02;05;18;33;34
263;19930930;03;04;14;28;32
262;19930927;21;22;25;31;35
261;19930923;02;04;27;28;33
260;19930920;06;07;09;12;19
259;19930916;07;21;24;31;35
258;19930913;13;14;25;29;32
257;19930909;02;03;14;16;23
256;19930906;04;05;16;19;34
255;19930902;06;11;13;18;19
271;19931028;08;11;15;19;22
270;19931025;06;15;20;23;35
269;19931021;02;05;11;17;33
268;19931018;01;02;04;05;07
267;19931014;09;14;17;23;24
266;19931011;05;13;19;20;28
265;19931007;02;06;13;21;27
264;19931004;01;21;22;30;34
280;19931129;01;03;25;26;27
279;19931125;02;20;26;28;35
278;19931122;09;20;31;33;34
277;19931118;03;04;15;30;35
276;19931115;21;24;27;28;31
275;19931111;10;24;25;31;34
274;19931108;06;25;27;30;35
273;19931104;02;05;07;14;33
272;19931101;08;15;20;25;27
298;19940131;01;05;10;14;15
297;19940127;03;06;10;13;24
296;19940124;08;12;13;14;27
295;19940120;12;16;26;27;34
294;19940117;20;25;30;31;32
293;19940113;01;07;17;20;29
292;19940110;10;20;25;26;31
291;19940106;11;12;24;28;29
290;19940103;09;11;20;21;30
306;19940228;05;07;21;26;28
305;19940224;02;05;25;29;30
304;19940221;06;11;15;27;29
303;19940217;11;13;21;30;32
302;19940214;08;09;23;25;30
301;19940210;03;08;10;13;14
300;19940207;11;17;18;20;27
299;19940203;05;09;15;18;29
315;19940331;06;08;09;25;35
314;19940328;03;06;22;25;34
313;19940324;05;09;23;27;28
